candidate_id,candidate_name,age,gender,party_id,constituency_id,education_level,profession,declared_assets_npr,criminal_case_status,campaign_budget_npr,previous_election_experience
88,Basanta Giri,38,Male,3,22,Bachelor,Academician,5669000,None,6320000,True
89,Juna Poudel,38,Female,4,22,Master,Trader,10653000,None,9450000,True
90,Man Bahadur Bhusal,42,Male,2,23,+2,Farmer,19852000,None,15060000,True
91,Jeevan Roka,44,Male,1,23,Bachelor,Engineer,1735000,None,11450000,False
92,Rajan Dahal,44,Male,3,23,Bachelor,Retired Govt Officer,3763000,None,6410000,False
93,Suman Devkota,47,Male,,23,Bachelor,Lawyer,4064000,Pending Case,1100000,False
94,Ganesh Sah,45,Male,2,24,Bachelor,Activist,981000,None,17670000,True
95,Pradeep Lama,29,Male,1,24,+2,Retired Govt Officer,2268000,None,8660000,False
96,Yasoda Parajuli,64,Female,4,24,No Formal Education,Doctor,44718000,None,8520000,False
97,Man Bahadur Mahato,65,Male,8,24,PhD,Trader,1437000,None,310000,False
98,Basanta Devkota,61,Male,,24,Bachelor,Teacher,897000,None,1240000,True
99,Pramod Yadav,48,Male,2,25,PhD,Teacher,5306000,None,8300000,False
100,Puja Koirala,45,Female,14,25,Bachelor,Trader,500000,Pending Case,390000,False
101,Jamuna Chalise,60,Female,4,25,Master,Journalist,9992000,None,8680000,True
102,Renu Ghimire,52,Female,,25,Master,Social Worker,1266000,None,330000,False
103,Nirmala Awasthi,53,Female,1,26,SLC,Politician,500000,None,18400000,True
104,Sunita Giri,46,Female,2,26,Master,Social Worker,27229000,Pending Case,8800000,True
105,Bimala Magar,48,Female,4,26,PhD,Farmer,9132000,None,9020000,True
106,Jit Chalise,43,Male,1,27,+2,Activist,523000,Convicted,15810000,True
107,Chandrika Upadhyay,33,Female,20,27,+2,Academician,14198000,None,810000,False
108,Shanta Regmi,41,Female,4,27,PhD,Trader,16093000,None,9630000,False
109,Tek Limbu,36,Male,3,27,Bachelor,Engineer,583000,None,11200000,False
110,Shankar Roka,63,Male,,27,Master,Doctor,1908000,None,1150000,True
111,Kiran Pandey,53,Male,3,28,Master,Contractor,1169000,None,6900000,False
112,Ranjana Bhusal,47,Female,18,28,SLC,Politician,1896000,None,770000,True
113,Lok Acharya,34,Male,5,28,SLC,Politician,14706000,None,3550000,True
114,Lekh Sapkota,48,Male,2,29,Master,Engineer,4012000,Pending Case,11430000,True
115,Jeevan Sah,41,Male,1,29,+2,Contractor,6315000,None,10730000,True
116,Kopila Giri,45,Female,3,29,Master,Academician,1732000,Convicted,9360000,False
117,Bikash Koirala,42,Male,2,30,+2,Doctor,49804000,None,11520000,True
118,Mana Parajuli,48,Male,3,30,Master,Journalist,9236000,None,4590000,False
119,Ramesh Poudel,37,Male,1,30,+2,Social Worker,4753000,None,14950000,False
120,Sweta Pandey,55,Female,,30,Master,Farmer,32007000,None,1400000,True
121,Padam Chaudhary,47,Other,2,31,Bachelor,Lawyer,12503000,None,17100000,True
122,Gita Saud,43,Female,3,31,Bachelor,Journalist,1654000,None,6770000,True
123,Roop Devkota,76,Male,10,31,PhD,Teacher,6147000,Pending Case,360000,False
124,Shanta Bhusal,37,Female,1,31,+2,Engineer,1547000,None,13230000,True
125,Bina Tiwari,57,Female,2,32,Master,Teacher,500000,None,10340000,True
126,Rekha Tiwari,48,Female,9,32,Master,Engineer,2223000,None,320000,True
127,Om Prasad Parajuli,61,Male,1,32,Master,Journalist,19128000,None,17550000,False
128,Govinda Khadka,40,Male,13,32,Master,Doctor,5808000,None,820000,True
129,Shanta Subedi,56,Female,1,33,PhD,Social Worker,15073000,None,18330000,True
130,Shila Airee,43,Female,3,33,Master,Businessman,6137000,None,11390000,False
131,Padam Pandey,45,Male,,33,Master,Politician,4770000,Pending Case,400000,False
132,Bed Prasad Subba,50,Male,4,34,Bachelor,Businessman,3271000,None,10290000,True
133,Bimala Chhetri,35,Female,3,34,Master,Academician,6620000,Pending Case,10100000,False
134,Tara Khadka,58,Female,,34,Master,Lawyer,52046000,None,1080000,False
135,Anil Airee,72,Male,2,35,Master,Engineer,2531000,None,17370000,True
136,Kiran Airee,50,Male,1,35,Bachelor,Social Worker,6069000,None,12850000,True
137,Puspa Thapa,42,Male,13,35,Master,Teacher,26173000,None,610000,True
138,Shankar Limbu,40,Male,5,36,Bachelor,Contractor,8960000,None,3450000,False
139,Rashmi Pandey,56,Female,3,36,Master,Retired Govt Officer,4979000,Pending Case,7950000,True
140,Sabina Magar,34,Female,14,36,Bachelor,Doctor,44912000,None,430000,False
141,Rabindra Sharma,57,Male,3,37,Bachelor,Trader,6890000,None,4020000,False
142,Umesh Luitel,52,Other,4,37,Master,Contractor,1490000,None,9600000,True
143,Shankar Sharma,42,Male,1,37,Master,Doctor,33729000,None,17830000,True
144,Chandra Ghimire,53,Male,,37,PhD,Social Worker,1728000,None,1200000,False
145,Prakash Shrestha,34,Male,2,38,Bachelor,Trader,4784000,None,9800000,True
146,Sushil Sah,45,Male,9,38,Master,Academician,5439000,None,720000,True
147,Man Bahadur Joshi,36,Male,1,38,Master,Teacher,11272000,None,19300000,True
148,Suresh Saud,43,Male,1,39,Master,Contractor,1287000,None,11270000,False
149,Durga Devi Limbu,49,Female,4,39,Master,Politician,2834000,None,3790000,True
150,Sumitra Magar,63,Female,14,39,Bachelor,Farmer,7231000,None,850000,False
151,Arjun Saud,59,Male,1,40,Master,Farmer,14810000,None,13320000,True
152,Jit Bista,62,Male,7,40,+2,Politician,9685000,None,480000,True
153,Rajan Adhikari,48,Male,2,40,Bachelor,Lawyer,2124000,None,7730000,True
154,Tek Tiwari,45,Male,4,40,Master,Farmer,824000,None,6490000,True
155,Bikash Parajuli,51,Male,2,41,SLC,Trader,16300000,None,16150000,False
156,Shankar Bista,42,Male,1,41,Master,Retired Govt Officer,737000,None,19040000,False
157,Ashok Tamang,50,Male,4,41,No Formal Education,Engineer,685000,None,8820000,False
158,Govinda Parajuli,68,Male,21,41,SLC,Contractor,25809000,None,700000,False
159,Yasoda Joshi,53,Female,4,42,PhD,Lawyer,1231000,None,6500000,True
160,Pradeep Chand,32,Male,5,42,Master,Engineer,3319000,None,5540000,True
161,Nir Shah,50,Male,2,42,PhD,Activist,17059000,Pending Case,8460000,False
162,Puspa Bhusal,39,Male,1,42,PhD,Farmer,4981000,None,18370000,False
163,Radhika Pandey,36,Female,3,43,Master,Teacher,1294000,None,9050000,False
164,Tulasa Limbu,56,Female,14,43,+2,Politician,8091000,None,300000,False
165,Kiran Neupane,53,Male,2,43,Master,Doctor,1568000,None,9350000,True
166,Rita Subedi,38,Female,,43,Master,Activist,7472000,None,350000,True
167,Dipak Niraula,50,Male,5,44,Bachelor,Farmer,3406000,None,4540000,True
168,Shanta Parajuli,42,Female,2,44,+2,Journalist,6363000,None,10790000,False
169,Jeevan Airee,40,Male,1,44,Bachelor,Activist,18247000,None,14590000,True
170,Binod Koirala,35,Male,3,44,PhD,Academician,4081000,None,7230000,False
171,Kiran Airee,54,Male,2,45,Master,Politician,7024000,None,8870000,False
172,Dipak Khadka,35,Male,1,45,Master,Engineer,2430000,None,19030000,True
173,Hira Bahadur Bhandari,62,Male,19,45,Master,Farmer,1315000,None,550000,True
174,Suman Roka,60,Male,1,46,Master,Teacher,5837000,None,15690000,True
175,Naresh Bohora,72,Male,14,46,Master,Retired Govt Officer,2641000,Pending Case,860000,False
176,Nisha Chhetri,55,Female,9,46,Master,Politician,6584000,None,490000,False
177,Rabindra Upadhyay,42,Male,2,46,+2,Businessman,18124000,None,12630000,True
178,Durga Pandey,59,Male,4,47,Bachelor,Politician,9061000,None,10160000,False
179,Kamal Rokaya,47,Male,1,47,Bachelor,Farmer,19399000,Pending Case,18630000,True
180,Sushil Awasthi,55,Male,,47,PhD,Retired Govt Officer,1568000,None,1320000,False
181,Dil Mahato,31,Male,1,48,Master,Businessman,1185000,None,12380000,True
182,Devi Prasad Tiwari,58,Male,2,48,Master,Journalist,89969000,None,11980000,True
183,Prakash Thapa,49,Male,17,48,Bachelor,Academician,12502000,None,550000,False
184,Dipak Lama,41,Male,4,49,No Formal Education,Teacher,27879000,None,5740000,True
185,Dilip Rokaya,52,Male,7,49,PhD,Trader,815000,None,370000,True
186,Rabindra Mahato,26,Male,1,49,Master,Social Worker,9697000,None,9380000,True
187,Bhim Thapa,60,Male,3,49,PhD,Teacher,500000,Pending Case,5730000,True
188,Renuka Bhusal,49,Female,24,49,Bachelor,Academician,85556000,None,650000,True
189,Phulmaya Bista,40,Female,2,50,Master,Academician,2138000,None,16150000,True
190,Binod Niraula,38,Male,1,50,Master,Lawyer,22614000,None,11200000,True
191,Rajesh Koirala,52,Male,4,50,Master,Politician,19678000,None,5260000,True
192,Urmila Aryal,52,Female,8,50,PhD,Engineer,2862000,Pending Case,310000,True
193,Sanjay Bogati,46,Male,7,50,Master,Trader,3688000,None,620000,False
194,Renu Bogati,43,Female,1,51,SLC,Businessman,3942000,Pending Case,12180000,False
195,Ganga Chaudhary,47,Female,2,51,Bachelor,Contractor,4149000,None,18470000,True
196,Mana Chaudhary,61,Male,3,51,Master,Farmer,1169000,None,4280000,False
197,Yasoda Oli,41,Female,14,51,Master,Journalist,35322000,None,450000,False
198,Ganesh Dhakal,43,Male,4,52,+2,Activist,527000,None,8890000,True
199,Narayan Adhikari,50,Male,2,52,Master,Teacher,1628000,None,17120000,False
200,Laxmi Sapkota,57,Female,5,52,SLC,Retired Govt Officer,1274000,None,3410000,False
201,Devi Prasad Awasthi,49,Male,3,52,Bachelor,Academician,2336000,None,9490000,False
202,Meena Saud,61,Female,1,53,Master,Social Worker,3563000,None,19550000,False
203,Jamuna Khanal,45,Female,3,53,PhD,Engineer,15317000,None,9200000,True
204,Rajesh Bhattarai,58,Male,2,53,+2,Trader,1119000,None,16480000,True
205,Soniya Upadhyay,53,Female,2,54,Master,Retired Govt Officer,2061000,None,16370000,True
206,Dil Basnet,54,Male,1,54,Bachelor,Social Worker,7865000,None,12300000,False
207,Bimal Tamang,45,Male,3,54,Master,Trader,10800000,None,11930000,False
208,Renu Kandel,69,Female,7,54,Master,Politician,2835000,None,400000,False
209,Gita Poudel,45,Female,13,54,PhD,Contractor,988000,None,490000,False
210,Bikash Magar,59,Male,1,55,Bachelor,Journalist,9525000,None,13310000,True
211,Rekha Joshi,46,Female,11,55,Bachelor,Lawyer,1739000,None,790000,False
212,Suman Subedi,39,Male,2,55,Bachelor,Journalist,987000,None,17800000,True
213,Ranjana Tamang,49,Female,5,55,Bachelor,Politician,6148000,None,2650000,False
214,Ram Khanal,43,Male,,55,PhD,Journalist,17245000,None,1330000,True
